userId,article_id,action
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,10,1
6,11,1
6,13,1
6,15,1
6,16,1
6,17,1
6,19,1
18,1,1
18,2,1
18,6,1
18,16,1
19,1,1
19,2,1
19,3,1
19,7,1
19,10,1
19,12,1
19,13,1
19,15,1
19,19,1
21,1,1
21,2,1
21,10,1
21,19,1
31,1,1
31,5,1
31,7,1
31,10,1
31,17,1
32,1,1
32,3,1
32,6,1
32,7,1
33,1,1
33,7,1
33,11,1
33,17,1
42,3,1
42,7,1
42,10,1
42,11,1
42,16,1
42,19,1
43,1,1
43,3,1
43,5,1
43,7,1
43,8,1
43,10,1
43,11,1
44,1,1
44,3,1
44,6,1
44,12,1
44,18,1
45,1,1
45,5,1
45,6,1
45,7,1
45,11,1
45,19,1
57,1,1
57,6,1
57,10,1
57,11,1
58,3,1
58,5,1
58,7,1
58,19,1
64,1,1
64,3,1
64,6,1
64,16,1
64,19,1
66,1,1
66,5,1
66,18,1
66,19,1
68,1,1
68,2,1
68,3,1
68,5,1
68,6,1
68,7,1
68,10,1
68,11,1
68,16,1
68,17,1
68,18,1
68,19,1
82,1,1
82,2,1
82,6,1
82,10,1
84,4,1
84,5,1
84,6,1
84,7,1
84,10,1
84,11,1
84,14,1
84,17,1
90,1,1
90,7,1
90,14,1
90,17,1
91,1,1
91,2,1
91,3,1
91,6,1
91,10,1
91,16,1
91,19,1
93,1,1
93,2,1
93,10,1
93,15,1
94,2,1
94,10,1
94,11,1
94,17,1
94,19,1
100,3,1
100,11,1
100,16,1
100,17,1
100,19,1
103,1,1
103,2,1
103,5,1
103,16,1
103,18,1
103,19,1
107,1,1
107,2,1
107,5,1
107,11,1
109,6,1
109,11,1
109,14,1
109,16,1
109,18,1
112,1,1
112,2,1
112,6,1
112,16,1
112,17,1
112,19,1
117,2,1
117,3,1
117,5,1
117,6,1
117,7,1
117,10,1
117,11,1
117,17,1
117,19,1
121,1,1
121,5,1
121,6,1
121,11,1
121,16,1
121,19,1
136,10,1
136,15,1
