state;action_reward;n_state
618&4|59&5|1444&3|480&5|616&4|763&1|610&5|493&5|66&3|485&5|275&5|100&5;629&2|402&3|824&3|418&4;618&4|59&5|1444&3|480&5|616&4|763&1|610&5|493&5|66&3|485&5|275&5|100&5|629&2|402&3|824&3|418&4
129&4|121&3|1016&3|302&4|310&3|327&4|1295&3|59&5|83&4|875&3|306&4|190&5;316&4|171&3|61&4|904&4;129&4|121&3|1016&3|302&4|310&3|327&4|1295&3|59&5|83&4|875&3|306&4|190&5|316&4|171&3|61&4|904&4
302&5|329&3|272&5|989&4|343&3|327&4|355&4|300&4|879&4|313&5|347&4|316&5;689&4|878&4|271&4|751&4;302&5|329&3|272&5|989&4|343&3|327&4|355&4|300&4|879&4|313&5|347&4|316&5|689&4|878&4|271&4|751&4
429&4|117&4|171&4|137&3|515&5|730&3|169&5|433&4|127&5|527&5|960&4|8&5;735&3|488&4|318&4|943&3;429&4|117&4|171&4|137&3|515&5|730&3|169&5|433&4|127&5|527&5|960&4|8&5|735&3|488&4|318&4|943&3
1289&2|485&4|660&5|275&5|433&4|1118&4|715&4|403&4|133&5|509&4|949&4|762&3;345&4|229&3|354&3|219&2;1289&2|485&4|660&5|275&5|433&4|1118&4|715&4|403&4|133&5|509&4|949&4|762&3|345&4|229&3|354&3|219&2
294&3|332&5|288&4|937&4|300&4|304&5|690&5|305&2|873&5|286&5|882&5|269&5;875&1|322&3|324&2|938&1;294&3|332&5|288&4|937&4|300&4|304&5|690&5|305&2|873&5|286&5|882&5|269&5|875&1|322&3|324&2|938&1
118&2|591&5|100&3|1047&3|282&5|475&5|151&2|410&4|289&3|824&3|111&3|456&1;79&5|169&4|3&4|210&4;118&2|591&5|100&3|1047&3|282&5|475&5|151&2|410&4|289&3|824&3|111&3|456&1|79&5|169&4|3&4|210&4
86&3|66&4|902&4|506&4|196&5|451&4|186&2|13&5|811&4|210&4|502&4|121&3;4&5|650&4|573&2|145&3;86&3|66&4|902&4|506&4|196&5|451&4|186&2|13&5|811&4|210&4|502&4|121&3|4&5|650&4|573&2|145&3
405&3|252&3|118&4|472&3|825&3|100&4|681&4|840&3|515&5|678&3|274&3|685&3;841&4|407&3|826&3|568&4;405&3|252&3|118&4|472&3|825&3|100&4|681&4|840&3|515&5|678&3|274&3|685&3|841&4|407&3|826&3|568&4
191&5|8&3|199&5|427&4|144&4|505&5|1089&3|500&4|650&3|283&5|197&3|181&5;367&3|659&5|514&4|202&4;191&5|8&3|199&5|427&4|144&4|505&5|1089&3|500&4|650&3|283&5|197&3|181&5|367&3|659&5|514&4|202&4
69&4|1148&4|591&5|124&4|423&5|528&4|89&3|226&4|1&4|96&5|356&4|229&1;195&5|642&4|443&3|197&5;69&4|1148&4|591&5|124&4|423&5|528&4|89&3|226&4|1&4|96&5|356&4|229&1|195&5|642&4|443&3|197&5
210&3|582&2|98&4|699&4|28&4|166&3|191&4|198&1|478&4|465&4|288&4|705&4;482&2|605&4|479&4|95&4;210&3|582&2|98&4|699&4|28&4|166&3|191&4|198&1|478&4|465&4|288&4|705&4|482&2|605&4|479&4|95&4
326&4|328&5|272&5|682&5|136&4|259&3|310&5|261&2|358&1|181&4|895&4|321&5;346&1|323&2|271&1|322&5;326&4|328&5|272&5|682&5|136&4|259&3|310&5|261&2|358&1|181&4|895&4|321&5|346&1|323&2|271&1|322&5
50&4|740&4|178&4|321&5|845&4|690&4|275&4|25&4|286&4|47&4|196&4|423&5;528&4|199&4|116&4|237&4;50&4|740&4|178&4|321&5|845&4|690&4|275&4|25&4|286&4|47&4|196&4|423&5|528&4|199&4|116&4|237&4
1012&1|405&5|258&4|546&3|274&3|276&4|123&3|1&4|118&5|106&2|257&2|121&5;370&3|284&1|291&4|925&4;1012&1|405&5|258&4|546&3|274&3|276&4|123&3|1&4|118&5|106&2|257&2|121&5|370&3|284&1|291&4|925&4
15&3|1129&3|9&3|116&5|13&4|150&5|547&4|284&2|125&3|19&5|476&3|285&5;287&4|1331&4|275&4|286&5;15&3|1129&3|9&3|116&5|13&4|150&5|547&4|284&2|125&3|19&5|476&3|285&5|287&4|1331&4|275&4|286&5
423&5|199&5|9&3|526&4|64&3|303&3|215&5|275&2|1025&3|230&3|457&4|310&3;181&1|117&4|127&4|890&2;423&5|199&5|9&3|526&4|64&3|303&3|215&5|275&2|1025&3|230&3|457&4|310&3|181&1|117&4|127&4|890&2
482&3|9&3|307&4|28&3|1134&3|657&5|156&4|127&5|23&4|483&4|238&4|963&5;628&2|1&4|276&4|237&4;482&3|9&3|307&4|28&3|1134&3|657&5|156&4|127&5|23&4|483&4|238&4|963&5|628&2|1&4|276&4|237&4
100&5|327&4|180&4|289&3|878&1|205&5|523&5|215&3|187&5|288&2|324&4|318&3;50&5|172&5|87&4|135&5;100&5|327&4|180&4|289&3|878&1|205&5|523&5|215&3|187&5|288&2|324&4|318&3|50&5|172&5|87&4|135&5
